"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CPI","TOT","IDX2015","A","1993",56.58231,
"AUS","CPI","TOT","IDX2015","A","1994",57.69677,
"AUS","CPI","TOT","IDX2015","A","1995",60.36684,
"AUS","CPI","TOT","IDX2015","A","1996",61.94567,
"AUS","CPI","TOT","IDX2015","A","1997",62.08498,
"AUS","CPI","TOT","IDX2015","A","1998",62.61899,
"AUS","CPI","TOT","IDX2015","A","1999",63.54771,
"AUS","CPI","TOT","IDX2015","A","2000",66.38031,
"AUS","CPI","TOT","IDX2015","A","2001",69.30578,
"AUS","CPI","TOT","IDX2015","A","2002",71.37218,
"AUS","CPI","TOT","IDX2015","A","2003",73.32249,
"AUS","CPI","TOT","IDX2015","A","2004",75.04063,
"AUS","CPI","TOT","IDX2015","A","2005",77.0606,
"AUS","CPI","TOT","IDX2015","A","2006",79.80032,
"AUS","CPI","TOT","IDX2015","A","2007",81.65777,
"AUS","CPI","TOT","IDX2015","A","2008",85.21012,
"AUS","CPI","TOT","IDX2015","A","2009",86.71929,
"AUS","CPI","TOT","IDX2015","A","2010",89.25006,
"AUS","CPI","TOT","IDX2015","A","2011",92.19875,
"AUS","CPI","TOT","IDX2015","A","2012",93.82401,
"AUS","CPI","TOT","IDX2015","A","2013",96.12259,
"AUS","CPI","TOT","IDX2015","A","2014",98.51405,
"AUS","CPI","TOT","IDX2015","A","2015",100,
"AUS","CPI","TOT","IDX2015","A","2016",101.277,
"AUS","CPI","TOT","IDX2015","A","2017",103.2505,
"AUT","CPI","TOT","IDX2015","A","1993",66.14342,
"AUT","CPI","TOT","IDX2015","A","1994",68.09691,
"AUT","CPI","TOT","IDX2015","A","1995",69.62457,
"AUT","CPI","TOT","IDX2015","A","1996",70.92027,
"AUT","CPI","TOT","IDX2015","A","1997",71.84647,
"AUT","CPI","TOT","IDX2015","A","1998",72.50923,
"AUT","CPI","TOT","IDX2015","A","1999",72.9218,
"AUT","CPI","TOT","IDX2015","A","2000",74.63172,
"AUT","CPI","TOT","IDX2015","A","2001",76.60946,
"AUT","CPI","TOT","IDX2015","A","2002",77.99637,
"AUT","CPI","TOT","IDX2015","A","2003",79.05365,
"AUT","CPI","TOT","IDX2015","A","2004",80.68311,
"AUT","CPI","TOT","IDX2015","A","2005",82.53812,
"AUT","CPI","TOT","IDX2015","A","2006",83.72795,
"AUT","CPI","TOT","IDX2015","A","2007",85.54364,
"AUT","CPI","TOT","IDX2015","A","2008",88.29468,
"AUT","CPI","TOT","IDX2015","A","2009",88.74172,
"AUT","CPI","TOT","IDX2015","A","2010",90.35108,
"AUT","CPI","TOT","IDX2015","A","2011",93.32055,
"AUT","CPI","TOT","IDX2015","A","2012",95.64019,
"AUT","CPI","TOT","IDX2015","A","2013",97.55315,
"AUT","CPI","TOT","IDX2015","A","2014",99.11966,
"AUT","CPI","TOT","IDX2015","A","2015",100.0083,
"AUT","CPI","TOT","IDX2015","A","2016",100.9,
"AUT","CPI","TOT","IDX2015","A","2017",103,
"BEL","CPI","TOT","IDX2015","A","1993",66.44468,
"BEL","CPI","TOT","IDX2015","A","1994",68.02443,
"BEL","CPI","TOT","IDX2015","A","1995",69.023,
"BEL","CPI","TOT","IDX2015","A","1996",70.45663,
"BEL","CPI","TOT","IDX2015","A","1997",71.60378,
"BEL","CPI","TOT","IDX2015","A","1998",72.28348,
"BEL","CPI","TOT","IDX2015","A","1999",73.09367,
"BEL","CPI","TOT","IDX2015","A","2000",74.95354,
"BEL","CPI","TOT","IDX2015","A","2001",76.80434,
"BEL","CPI","TOT","IDX2015","A","2002",78.06794,
"BEL","CPI","TOT","IDX2015","A","2003",79.30841,
"BEL","CPI","TOT","IDX2015","A","2004",80.97173,
"BEL","CPI","TOT","IDX2015","A","2005",83.22391,
"BEL","CPI","TOT","IDX2015","A","2006",84.71461,
"BEL","CPI","TOT","IDX2015","A","2007",86.25901,
"BEL","CPI","TOT","IDX2015","A","2008",90.13156,
"BEL","CPI","TOT","IDX2015","A","2009",90.08366,
"BEL","CPI","TOT","IDX2015","A","2010",92.05586,
"BEL","CPI","TOT","IDX2015","A","2011",95.30735,
"BEL","CPI","TOT","IDX2015","A","2012",98.01376,
"BEL","CPI","TOT","IDX2015","A","2013",99.10474,
"BEL","CPI","TOT","IDX2015","A","2014",99.4417,
"BEL","CPI","TOT","IDX2015","A","2015",100,
"BEL","CPI","TOT","IDX2015","A","2016",101.9739,
"BEL","CPI","TOT","IDX2015","A","2017",104.1418,
"CAN","CPI","TOT","IDX2015","A","1993",67.606,
"CAN","CPI","TOT","IDX2015","A","1994",67.71793,
"CAN","CPI","TOT","IDX2015","A","1995",69.17303,
"CAN","CPI","TOT","IDX2015","A","1996",70.25941,
"CAN","CPI","TOT","IDX2015","A","1997",71.39848,
"CAN","CPI","TOT","IDX2015","A","1998",72.10956,
"CAN","CPI","TOT","IDX2015","A","1999",73.36055,
"CAN","CPI","TOT","IDX2015","A","2000",75.35555,
"CAN","CPI","TOT","IDX2015","A","2001",77.25836,
"CAN","CPI","TOT","IDX2015","A","2002",79.00316,
"CAN","CPI","TOT","IDX2015","A","2003",81.18251,
"CAN","CPI","TOT","IDX2015","A","2004",82.69028,
"CAN","CPI","TOT","IDX2015","A","2005",84.52068,
"CAN","CPI","TOT","IDX2015","A","2006",86.2128,
"CAN","CPI","TOT","IDX2015","A","2007",88.05636,
"CAN","CPI","TOT","IDX2015","A","2008",90.14353,
"CAN","CPI","TOT","IDX2015","A","2009",90.41348,
"CAN","CPI","TOT","IDX2015","A","2010",92.02002,
"CAN","CPI","TOT","IDX2015","A","2011",94.69976,
"CAN","CPI","TOT","IDX2015","A","2012",96.13511,
"CAN","CPI","TOT","IDX2015","A","2013",97.03713,
"CAN","CPI","TOT","IDX2015","A","2014",98.88728,
"CAN","CPI","TOT","IDX2015","A","2015",100,
"CAN","CPI","TOT","IDX2015","A","2016",101.4288,
"CAN","CPI","TOT","IDX2015","A","2017",103.0485,
"CZE","CPI","TOT","IDX2015","A","1993",43.55226,
"CZE","CPI","TOT","IDX2015","A","1994",47.92465,
"CZE","CPI","TOT","IDX2015","A","1995",52.23333,
"CZE","CPI","TOT","IDX2015","A","1996",56.80833,
"CZE","CPI","TOT","IDX2015","A","1997",61.69167,
"CZE","CPI","TOT","IDX2015","A","1998",68.29166,
"CZE","CPI","TOT","IDX2015","A","1999",69.75,
"CZE","CPI","TOT","IDX2015","A","2000",72.38333,
"CZE","CPI","TOT","IDX2015","A","2001",75.75833,
"CZE","CPI","TOT","IDX2015","A","2002",77.2,
"CZE","CPI","TOT","IDX2015","A","2003",77.29166,
"CZE","CPI","TOT","IDX2015","A","2004",79.425,
"CZE","CPI","TOT","IDX2015","A","2005",80.9,
"CZE","CPI","TOT","IDX2015","A","2006",82.95,
"CZE","CPI","TOT","IDX2015","A","2007",85.31667,
"CZE","CPI","TOT","IDX2015","A","2008",90.74167,
"CZE","CPI","TOT","IDX2015","A","2009",91.66666,
"CZE","CPI","TOT","IDX2015","A","2010",93.01667,
"CZE","CPI","TOT","IDX2015","A","2011",94.8,
"CZE","CPI","TOT","IDX2015","A","2012",97.91666,
"CZE","CPI","TOT","IDX2015","A","2013",99.325,
"CZE","CPI","TOT","IDX2015","A","2014",99.66666,
"CZE","CPI","TOT","IDX2015","A","2015",99.975,
"CZE","CPI","TOT","IDX2015","A","2016",100.6583,
"CZE","CPI","TOT","IDX2015","A","2017",103.125,
"DNK","CPI","TOT","IDX2015","A","1993",65.32453,
"DNK","CPI","TOT","IDX2015","A","1994",66.6258,
"DNK","CPI","TOT","IDX2015","A","1995",68.01402,
"DNK","CPI","TOT","IDX2015","A","1996",69.46021,
"DNK","CPI","TOT","IDX2015","A","1997",70.97594,
"DNK","CPI","TOT","IDX2015","A","1998",72.28591,
"DNK","CPI","TOT","IDX2015","A","1999",74.09146,
"DNK","CPI","TOT","IDX2015","A","2000",76.24255,
"DNK","CPI","TOT","IDX2015","A","2001",78.025,
"DNK","CPI","TOT","IDX2015","A","2002",79.91666,
"DNK","CPI","TOT","IDX2015","A","2003",81.575,
"DNK","CPI","TOT","IDX2015","A","2004",82.51667,
"DNK","CPI","TOT","IDX2015","A","2005",84.01667,
"DNK","CPI","TOT","IDX2015","A","2006",85.63333,
"DNK","CPI","TOT","IDX2015","A","2007",87.08334,
"DNK","CPI","TOT","IDX2015","A","2008",90.05833,
"DNK","CPI","TOT","IDX2015","A","2009",91.23333,
"DNK","CPI","TOT","IDX2015","A","2010",93.34167,
"DNK","CPI","TOT","IDX2015","A","2011",95.91666,
"DNK","CPI","TOT","IDX2015","A","2012",98.21667,
"DNK","CPI","TOT","IDX2015","A","2013",98.99167,
"DNK","CPI","TOT","IDX2015","A","2014",99.55,
"DNK","CPI","TOT","IDX2015","A","2015",100,
"DNK","CPI","TOT","IDX2015","A","2016",100.25,
"DNK","CPI","TOT","IDX2015","A","2017",101.4,
"FIN","CPI","TOT","IDX2015","A","1993",72.15226,
"FIN","CPI","TOT","IDX2015","A","1994",72.93768,
"FIN","CPI","TOT","IDX2015","A","1995",73.51479,
"FIN","CPI","TOT","IDX2015","A","1996",73.97735,
"FIN","CPI","TOT","IDX2015","A","1997",74.85957,
"FIN","CPI","TOT","IDX2015","A","1998",75.9072,
"FIN","CPI","TOT","IDX2015","A","1999",76.78943,
"FIN","CPI","TOT","IDX2015","A","2000",79.12543,
"FIN","CPI","TOT","IDX2015","A","2001",81.16563,
"FIN","CPI","TOT","IDX2015","A","2002",82.44093,
"FIN","CPI","TOT","IDX2015","A","2003",83.1643,
"FIN","CPI","TOT","IDX2015","A","2004",83.31992,
"FIN","CPI","TOT","IDX2015","A","2005",83.83973,
"FIN","CPI","TOT","IDX2015","A","2006",85.15321,
"FIN","CPI","TOT","IDX2015","A","2007",87.29113,
"FIN","CPI","TOT","IDX2015","A","2008",90.84034,
"FIN","CPI","TOT","IDX2015","A","2009",90.84034,
"FIN","CPI","TOT","IDX2015","A","2010",91.91602,
"FIN","CPI","TOT","IDX2015","A","2011",95.05661,
"FIN","CPI","TOT","IDX2015","A","2012",97.72611,
"FIN","CPI","TOT","IDX2015","A","2013",99.17079,
"FIN","CPI","TOT","IDX2015","A","2014",100.2034,
"FIN","CPI","TOT","IDX2015","A","2015",99.995,
"FIN","CPI","TOT","IDX2015","A","2016",100.3517,
"FIN","CPI","TOT","IDX2015","A","2017",101.1083,
"FRA","CPI","TOT","IDX2015","A","1993",72.73666,
"FRA","CPI","TOT","IDX2015","A","1994",73.94083,
"FRA","CPI","TOT","IDX2015","A","1995",75.26917,
"FRA","CPI","TOT","IDX2015","A","1996",76.76167,
